CRE_id	CRE_class	Activity_max_cluster	Activity_all_cells	Specificity	max_cluster_num_rep	max_cluster_id	mean_freq_max_cluster	all_rep_act_hit	all_rep_spec_hit	is_promoter	log2FC_ATAC_cognate	av_phyloP
Bend5_chr4_8201	devCRE	1.43102122073423	0.198647940293037	46.074334587352	3	unique_4	1	TRUE	TRUE	FALSE	5.71742608811055	0.100162
Epas1_chr17_10063	devCRE	17.1753215553926	0.847162314670838	630.620249804972	3	unique_4	0.999866666666667	TRUE	TRUE	FALSE	5.74933489146762	0.021138
Foxa2_chr2_13858	devCRE	3.87003545138026	0.276838751144305	49.0097838637648	3	unique_4	0.980066666666667	TRUE	TRUE	FALSE	4.59471059608407	-0.13972
Gata4_chr14_5729	devCRE	18.1400127400788	1.29000247111972	1235.75251200995	3	unique_4	1	TRUE	TRUE	FALSE	5.93705266438747	1.97713
Lama1_chr17_7784	devCRE	3.30278850426103	0.341328418066416	181.992296058152	3	unique_4	1	TRUE	TRUE	FALSE	6.22768832007864	-0.170366
Lamb1_chr12_2183	devCRE	13.5499740871255	1.55518708170118	227.862212608761	3	unique_4	1	TRUE	TRUE	FALSE	4.70231183473869	0.245828
Lamc1_chr1_12189	devCRE	1.0632957	0.424187911771461	46.19762	3	pairs_0_4	0.982766666666667	TRUE	TRUE	FALSE	3.44782046719863	0.26473
Sox2_chr3_2007	devCRE	3.17025563854398	0.746383127575784	52.9571235778629	3	unique_0	1	TRUE	TRUE	FALSE	5.44717277334802	NA
Sox2_chr3_2009	devCRE	1.19575217513995	0.258029791898439	53.82354577841	3	unique_0	0.9994	TRUE	TRUE	FALSE	5.81447335773494	NA
Sparc_chr11_7211	devCRE	5.57455185336485	0.493711498905826	25.0461600031577	3	unique_4	0.983866666666667	TRUE	TRUE	FALSE	3.63479958985717	-0.13318
Bend5_chr4_8175	devCRE	2.87235318291197	1.08544490337837	2.68383956877325	2	unique_7	0.815133333333333	TRUE	FALSE	TRUE	0.545549996453176	0.726788
Btg1_chr10_9578	devCRE	8.96875883124019	4.4740772572028	1.93285996582106	2	unique_5	0.446833333333333	TRUE	FALSE	TRUE	0.106033120546068	0.618782
Cdk5r1_chr11_12559	devCRE	0.571165657724507	0.283938089260281	1.84820212248461	2	unique_0	0.6175	TRUE	FALSE	TRUE	0.100028666240932	0.416146
Cdk5r1_chr11_12562	devCRE	2.99740583873737	1.14733092827964	4.65344090406066	3	unique_0	0.905466666666667	TRUE	FALSE	TRUE	0.0306811129046243	0.687946
Cdk5r1_chr11_12574	devCRE	5.64554390590757	4.01667854518203	1.50638934122837	1	unique_4	0.551866666666667	TRUE	FALSE	TRUE	0.211404998292521	1.20158
Cdk5r1_chr11_12582	devCRE	2.18869710176622	0.30852994359867	8.61788175715712	3	unique_7	0.943033333333333	TRUE	FALSE	TRUE	0.383722576936264	0.128422
